Cnty,Lake,Lat,Lon
Rolette County,Jones Lake,48.9055586,-100.0654081
Nelson County,Jones Lake,48.0227771,-98.3834376
Griggs County,Jones Lake,47.438884,-98.3217631
Sheridan County,Jones Lake,47.5430516,-100.2256827
Foster County,Juanita Lake,47.5541637,-98.7362155
Burke County,Jud Chrests Lake,48.7183665,-102.5126737
Bottineau County,Juneau Lake,48.8902817,-100.2276337
Sargent County,Kandiotta Lake,46.1427397,-97.4900933
Sheridan County,Kandt Lake,47.8136121,-100.4604141
Barnes County,Kee Lake,46.8458184,-98.2853688
Williams County,Kettle Lake,48.6072508,-103.6238071
Pierce County,Kilgore Lake,48.1641683,-100.1404129
Sheridan County,Kindschi Lake,47.6002753,-100.3381852
Burke County,Kirkland Lake,48.69031,-102.4890629
Rolette County,Kishpaugh Lake,48.5547194,-99.9040285
McIntosh County,Kislingburg Lake,46.0494177,-99.3253915
Mountrail County,Kittelson Slough,48.5028035,-102.4657332
Bottineau County,Klebe Lake,48.9780635,-100.2926362
Burke County,Knudson Slough,48.5872506,-102.4423967
Williams County,Knudsvig Lake,48.62114,-103.6026951
Richland County,Kreiser Lake,46.1335718,-97.219257
Emmons County,Kremer Lake,46.2305476,-100.36984
Sheridan County,Krueger Lake,47.7663893,-100.4993019
Kidder County,Kunkel Lake,47.0410998,-99.6395529
Renville County,Lagerquist Lake,48.9583379,-100.1354077
Burke County,Lagorin Slough,48.582249,-102.2440541
Rolette County,Laird Lake,48.953061,-99.8706894
Griggs County,Lake Addie,47.5305516,-98.2856523
Ramsey County,Lake Alice,48.3358344,-99.1179119
Bottineau County,Lake Bennett,48.9675093,-100.3345837
Barnes County,Lake Benson,47.2244349,-98.2348171
Cass County,Lake Bertha,46.762475,-97.4987053
Bottineau County,Lake Bessie,48.9488987,-100.3623632
McLean County,Lake Brekken,47.5458317,-100.8954209
Eddy County,Lake Claire,47.6136097,-99.1617829
Eddy County,Lake Coe,47.6941638,-98.6973265
Bottineau County,Lake Couthard,48.9564021,-100.4443135
Bottineau County,Lake Dana,48.902232,-100.4090319
Sargent County,Lake Dell,45.9885762,-97.6851001
Richland County,Lake Elsie,46.0457921,-96.9331374
Kidder County,Lake Etta,46.8119279,-99.8017727
Sargent County,Lake Fedge,46.1966279,-97.398425
Griggs County,Lake Five,47.4841619,-98.19954
Bottineau County,Lake Francis,48.9791789,-100.3959773
Foster County,Lake George,47.3958301,-98.9506647
Kidder County,Lake George,46.7333146,-99.4892758
McHenry County,Lake George,48.1005587,-100.3829169
Bottineau County,Lake Harman,48.9072313,-100.3831972
Kidder County,Lake Helen,47.2355462,-100.05789
Kidder County,Lake Henry,46.7719269,-99.6709407
McHenry County,Lake Hester,48.0513963,-100.7598675
McLean County,Lake Holmes,47.5333316,-100.8723643
McIntosh County,Lake Hoskins,46.0491415,-99.4428927
Benson County,Lake Ibsen,48.2605546,-99.4009682
Ramsey County,Lake Irvine,48.3105553,-99.173468
Kidder County,Lake Isabel,46.818039,-99.7498285
Griggs County,Lake Jessie,47.5511071,-98.2895415
Kidder County,Lake Josephine,47.1824891,-100.0014979
Bottineau County,Lake Klingenberg,48.937512,-100.4337566
Nelson County,Lake Laretta,48.0680525,-98.1701015
McHenry County,Lake Lemer,48.0725031,-100.3406945
Stutsman County,Lake Louise,47.0502684,-99.4509445
Sargent County,Lake Mann,46.024408,-97.5317631
Nelson County,Lake Mary,48.0519413,-98.1817684
Benson County,Lake Mary,47.9644521,-99.6659636
Bottineau County,Lake McDonald,48.9938992,-100.3387508
Nelson County,Lake Miller,48.112496,-98.0842667
Benson County,Lake Murie,48.2302755,-99.2445794
McLean County,Lake Nettie,47.6147214,-101.0168146
Griggs County,Lake Norway,47.5830516,-98.268986
Wells County,Lake Ontario,47.5066672,-99.7376217
McLean County,Lake Ordway,47.5016643,-100.9432004
Nelson County,Lake Pickard,47.9461043,-97.9112064
Sheridan County,Lake Richard,47.847501,-100.3640248
Emmons County,Lake Robinson (historical),46.6224938,-100.5545646
Sargent County,Lake Schimmer,46.1277444,-97.9503792
Benson County,Lake Seventeen,47.9863972,-99.6481869
Griggs County,Lake Silver,47.5799961,-98.2812083
Sargent County,Lake Taayer,46.1235779,-97.9667683
Bottineau County,Lake Taylor,48.9314019,-100.4665363
Bottineau County,Lake Thomas,48.9016736,-100.3237492
Steele County,Lake Tobiason,47.6427665,-97.6389778
Williams County,Lake Trenton,48.0653004,-103.8407601
Rolette County,Lake Upsilon,48.9677839,-99.8423568
Ward County,Lake Vernon,47.9772296,-101.5143311
McLean County,Lake Williams,47.5286095,-100.8343073
Kidder County,Lake Williams,47.1288802,-99.6167775
Benson County,Lake Yri,48.21972,-99.2490239
Hettinger County,Larson Lake,46.4275041,-102.5143305
Barnes County,Larson Slough,47.0669264,-97.9359332
Rolette County,Lashman Lake,48.9686169,-99.863189
McHenry County,Lauinger Lake,48.1233364,-100.4226391
Bottineau County,Lee Lake,48.8913937,-100.2698573
Benson County,Legreid Lake,47.9336182,-99.6451296
Pierce County,Lesmeister Lake,47.9916702,-100.0059646
Bottineau County,Line Lake,48.9994589,-100.4337584
Rolette County,Little Gurr Lake,48.6899999,-99.8770878
Rolette County,Little Horseshoe Lake,48.9055582,-99.9881853
Emmons County,Litzman Ponds,46.6063829,-100.5906769
Rolette County,Lockhart Lake,48.9516702,-100.031794
Ransom County,Lone Tree Lake,46.4177465,-97.9601012
Steele County,Lone Tree Lake,47.2894335,-97.8909322
Sheridan County,Lone Tree Lake,47.6597199,-100.1601284
Williams County,Lone Tree Lake,48.4391926,-103.5307476
Burleigh County,Lonetree Lake,47.2024916,-100.2937263
Kidder County,Long Alakline Lake,47.2427705,-99.8273346
Griggs County,Long Lake,47.5669405,-98.2937083
Griggs County,Long Lake,47.488607,-98.3342635
McHenry County,Long Lake,48.0991691,-100.2931936
Pierce County,Long Lake,48.0850039,-99.8712421
Benson County,Long Lake,48.2616665,-99.7873542
McLean County,Long Lake,47.7202787,-100.8573654
Benson County,Long Lake,48.0113885,-99.2518017
Rolette County,Long Lake,48.8925045,-99.8456941
Rolette County,Long Lake,48.9375031,-100.0198499
Bottineau County,Long Lake,48.9427906,-100.4495912
Rolette County,Long Lake,48.9522285,-99.8154148
Rolette County,Long Lake,48.9077803,-99.9962402
Rolette County,Long Lake,48.9158378,-99.8745801
Bottineau County,Long Lake,48.925283,-100.2568007
Rolette County,Long Lake,48.6324996,-99.7187573
Bottineau County,Loon Lake,48.9344517,-100.3084707
Bottineau County,Lords Lake,48.7808346,-100.1987466
McLean County,Lost Lake,47.2561041,-100.8976393
Burke County,Lostwood Lakes,48.5533606,-102.4468421
Mountrail County,Lower Lostwood Lake,48.5330823,-102.4601766
Richland County,Lueck Lake,46.0291259,-97.0423074
Grand Forks County,Lunby Lake,48.0449857,-97.2770237
Rolette County,Lyde Lake,48.9352812,-100.0590177
Steele County,Lynch Lake,47.4830464,-97.8306481
Rolette County,Magog Lake,48.881114,-99.9429114
Emmons County,Maier Lake,46.2408241,-100.2790042
Benson County,Mallard Lake,47.9894437,-98.9001182
Benson County,Mallard Lake,47.8894432,-98.8003885
Oliver County,Mandan Lake,47.2466611,-101.1798738
Nelson County,Mannie Lake,47.7002746,-98.3706552
Rolette County,Marion Lakes,48.8533376,-99.7987544
Williams County,Marple Slough,48.4125256,-103.5396369
McHenry County,Martin Lake,48.042503,-100.2962497
Rolette County,Martin Lake,48.860561,-99.7062561
Burke County,Martin Lakes,48.6394735,-102.3412805
Burke County,Martinsen Lake,48.6172511,-102.3893383
Nelson County,Matson Slough,47.7411037,-97.9517611
McIntosh County,May Lake,46.2458071,-99.5473346
Divide County,Mc Cone Lake,48.9394717,-104.0188227
Barnes County,McDonald Lake,46.9574815,-98.0781523
Nelson County,McHugh Slough,48.0999981,-98.2514918
Logan County,McKenna Lake,46.4877585,-99.8073307
Towner County,McLaughlin Lake,48.8566731,-99.5218091
Williams County,McLeod Lake,48.3380774,-103.1732403
McLean County,McMann Lake,47.8480595,-101.1204317
Kidder County,McPhail Slough,46.9735978,-99.6767736
Stutsman County,Meander Lake,47.2047183,-99.3448362
Stutsman County,Medicine Lake,47.1961063,-98.7784391
Eddy County,Medicine Lake,47.6922192,-98.7412162
Ward County,Mellam Lake,48.0261206,-101.620165
Burke County,Merrills Slough,48.6066956,-102.4260068
Ramsey County,Mikes Lake,48.3083352,-99.0481883
Rolette County,Mill Lake,48.9397283,-99.8059716
Divide County,Miller Lake,48.8355841,-103.963543
Divide County,Miller Lake,48.8380841,-103.9632652
McIntosh County,Miller Lake,46.2388591,-99.2087219
McLean County,Minehan Slough,47.6769481,-101.8182228
Barnes County,Minnie Lake,47.0966483,-97.7676023
Adams County,Mirror Lake,45.9944499,-102.6334907
Burleigh County,Mitchell Lake,47.171658,-100.3012256
Sheridan County,Moesner Lake,47.7966679,-100.5409705
Dunn County,Moffet Slough,47.2902907,-102.6071286
Rolette County,Montgomery Lake,48.9308398,-99.7704185
Stutsman County,Moon Lake,46.866653,-99.0251103
Barnes County,Moon Lake,46.8577605,-98.1592608
Towner County,Moore Lake,48.9150074,-99.29708
Sheridan County,Moorehead Lake,47.7991665,-100.3351341
Richland County,Moran Lake,46.0402368,-97.0167511
Ward County,Mork Lake,48.1291762,-101.5773872
Ramsey County,Morrison Lake,48.2472255,-98.8326228
Benson County,Mud Lake,48.2252787,-99.5723557
Benson County,Mud Lake,48.3536092,-99.7645799
McLean County,Mud Lake,47.6041657,-100.9898691
Sheridan County,Mud Lake,47.8136107,-100.2281885
McIntosh County,Mud Lake,46.2666385,-99.3795561
Barnes County,Mud Lake,46.8574863,-98.4259249
Kidder County,Mud Lake,46.9430415,-99.7003844
Kidder County,Mud Lake,46.6794295,-100.0303849
Barnes County,Mud Lake,47.1516577,-98.4089838
Stutsman County,Mud Lake,47.0541584,-99.3462232
Bottineau County,Mud Lake,48.9633436,-100.3640302
Bottineau County,Mud Lake,48.9775089,-100.3173602
Rolette County,Mullet Lake,48.9377842,-99.784584
Sargent County,Murach Lake,46.12135,-97.2800916
Burke County,Muskie Lake,48.6811417,-102.6760105
Divide County,Musta Lake,48.7136418,-103.5940839
Rolette County,Myer Lake,48.9641706,-100.0573496
